time,answer,money,get_money,watch,views,gender,lable,url,content,,,,,,,,,,,,,,,,
2018/9/25 19:52,3,12,0,0,26,男,\,https://sns.guahao.com/question/AYDIG24284762602504192,男.22岁.先天性淋病怎么治疗好？,,,,,,,,,,,,,,,,
2018/9/25 19:42,1,12,12,0,12,男,\,https://sns.guahao.com/question/aoWvW24283490501591041,男.20岁.包皮手术第四天.请问医生我这个情况明天一早去医院换纱布来得及吗？我天天吃阿莫西林.会不会龟头坏死了？还有尿道口那里紫红是什么情况？还有一些白色泡泡一样的皮.是不是坏了啊？,,,,,,,,,,,,,,,,
2018/9/25 19:40,2,0,0,0,31,女,\,https://sns.guahao.com/question/bhzed24283298991767554,女.25岁.这半年.头带头箍带一会头就会疼.要是休息不好也头疼.不是很疼.微微的疼.有时候记忆力也不是很好.有时候又都可以。头发绑太紧也疼.要是洗了头发.放下来就不疼。,,,,,,,,,,,,,,,,
2018/9/25 19:39,1,30,30,0,12,\,\,https://sns.guahao.com/question/DoiXG24283147619336192,请问应该要吃点什么药？,,,,,,,,,,,,,,,,
2018/9/25 19:38,2,6,0,0,22,\,\,https://sns.guahao.com/question/rGJFE24282991167602691,左上最后一颗牙往嘴唇侧蛀.已补.但是用手和舌明显感觉凸起一块.非常不平整.侧面也有补.平整.但是不光滑。请问有必要重新调磨么？感谢各位好医生。,,,,,,,,,,,,,,,,
2018/9/25 19:34,1,6,0,0,29,女,\,https://sns.guahao.com/question/HsewP24282543062843393,女..20..肛门口长了一个疙瘩.坐久了有时候感觉粘在内裤上一样.不疼..不硬,,,,,,,,,,,,,,,,
2018/9/25 19:26,4,12,0,0,45,女,\,https://sns.guahao.com/question/ZHfjQ24281476795269121,女.33岁.左边大阴唇长了一个像黄豆一般大小椭圆形的包.前几天吃了蒲地兰消炎药.肿块消了一点.今天发现肿块的正中央破了皮.就像被针扎过一样大一个小口子.还有点流血.流血的量很少。我想请问一下这是什么病.需要吃什么药.有没有什么忌口的。,,,,,,,,,,,,,,,,
2018/9/25 19:23,2,6,0,0,37,\,\,https://sns.guahao.com/question/Qcmxs24281122580004866,指甲是什么问题.这两个月越来越严重,,,,,,,,,,,,,,,,
2018/9/25 19:13,1,12,0,0,10,男,\,https://sns.guahao.com/question/UeXEd24279838831476738,男.34岁.已经两个礼拜耳朵感觉堵.有压力的感觉。之前已看过.药也吃了.还有没有改善症状。,,,,,,,,,,,,,,,,
2018/9/25 19:05,4,6,0,0,48,男,\,https://sns.guahao.com/question/hnKXW24278814095867904,男..21岁...这两天胳膊上起了这个..还疼...是怎么一回事,,,,,,,,,,,,,,,,
